Names,Cases
Île-de-France,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Nouvelle-Aquitaine,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Auvergne-Rhône-Alpes,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Bourgogne-Franche-Comté,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Hauts-de-France,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Grand Est,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Guadeloupe,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Martinique,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Guyane,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
La Réunion,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Mayotte,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Centre-Val de Loire,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Normandie,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Pays de la Loire,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Bretagne,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Occitanie,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Provence-Alpes-Côte d'Azur,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
Corse,0,2020-03-26T00:00:00+01:00,https://github.com/opencovid19-fr/data
